citing,cited
doi:10.15468/dl.2y7v73,doi:10.1594/pangaea.141318
doi:10.15468/dl.2y7v73,doi:10.1594/pangaea.141210
doi:10.15468/dl.2y7v73,doi:10.15468/dl.2ya2sz
doi:10.15468/dl.2y7v73,doi:10.15468/dl.2y8m74
doi:10.15468/dl.2y7v73,doi:10.15468/dl.2y3psx
doi:10.15468/dl.2y7v73,doi:10.15468/dl.2xpa28
doi:10.15468/dl.2y7v73,doi:10.15468/dl.2yehex
doi:10.15468/dl.2y7v73,doi:10.15468/dl.2xlpaa
doi:10.15468/dl.2y7v73,doi:10.15468/dl.2xkvoc
doi:10.15468/dl.2xs6ad,doi:10.15468/dl.2xqgjk
doi:10.15468/dl.2xs6ad,doi:10.15468/dl.2yh2ej
doi:10.15468/dl.2xs6ad,doi:10.15468/dl.2yg9uq
doi:10.15468/dl.2xs6ad,doi:10.15468/dl.2ybhbk
doi:10.15468/dl.2xs6ad,doi:10.1594/pangaea.141213
doi:10.15468/dl.2xs6ad,doi:10.15468/dl.2y2sk6
doi:10.15468/dl.2xs6ad,doi:10.1594/pangaea.141236
doi:10.15468/dl.2xs6ad,doi:10.15468/dl.2xu97q
doi:10.15468/dl.2xs6ad,doi:10.15468/dl.2y0fce
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2xv3y8
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2ybybs
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2yqf8n
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2yhuz6
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2yee48
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2xmqrs
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2yhdym
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2ys48d
doi:10.15468/dl.2xthm7,doi:10.15468/dl.2xvb7s
doi:10.15468/dl.2y2c59,doi:10.15468/dl.hsfx1o
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2xvtug
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2xsw2q
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2y6yyx
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2yb2do
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2ylm8v
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2xprqq
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2xxilf
doi:10.15468/dl.2y2c59,doi:10.15468/dl.2ypqgp
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.2yhwrh
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.xxwiqp
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.2y53aq
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.2y8p7b
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.2yoedn
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.2xzqj9
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.2xmfpt
doi:10.15468/dl.2yrzr2,doi:10.1594/pangaea.141315
doi:10.15468/dl.2yrzr2,doi:10.15468/dl.2xkzi8
doi:10.1594/pangaea.141279,doi:10.15468/dl.2xz7j6
doi:10.1594/pangaea.141279,doi:10.15468/dl.2ymcqv
doi:10.1594/pangaea.141279,doi:10.15468/dl.2xmyfv
doi:10.1594/pangaea.141279,doi:10.15468/dl.2yhmds
doi:10.1594/pangaea.141279,doi:10.15468/dl.2xvrt9
doi:10.1594/pangaea.141279,doi:10.15468/dl.2xznrs
doi:10.1594/pangaea.141279,doi:10.15468/dl.2y25ny
doi:10.1594/pangaea.141279,doi:10.15468/dl.2xpvfm
doi:10.1594/pangaea.141279,doi:10.15468/dl.2ypnmh
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2yhzvy
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2xx3x6
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2y6d52
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2xu892
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2yhs9t
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2ylqt4
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2ykv9s
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2xm8bp
doi:10.15468/dl.2y2h4u,doi:10.15468/dl.2xu23p
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2yi6pm
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2ygjqc
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2yohrb
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2xxask
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2yhkz2
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2yfqvc
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2y9vdj
doi:10.15468/dl.2xqz38,doi:10.1594/pangaea.141233
doi:10.15468/dl.2xqz38,doi:10.15468/dl.2yflkp
doi:10.15468/dl.2xvpv9,doi:10.15468/dl.2xstk9
doi:10.15468/dl.2xvpv9,doi:10.15468/dl.2xy45b
doi:10.15468/dl.2xvpv9,doi:10.15468/dl.2xt7db
doi:10.15468/dl.2xvpv9,doi:10.1594/pangaea.141208
doi:10.15468/dl.2xvpv9,doi:10.15468/dl.2y8fvr
doi:10.15468/dl.2xvpv9,doi:10.15468/dl.2yedns
doi:10.15468/dl.2xvpv9,doi:10.15468/dl.2ync92
doi:10.15468/dl.2xvpv9,doi:10.1594/pangaea.141217
doi:10.15468/dl.2xvpv9,doi:10.1594/pangaea.141292
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2ybjf8
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2ye9uh
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2y5z3n
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2ylqdv
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2xyogf
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2xw6y3
doi:10.15468/dl.2yfpnu,doi:10.1594/pangaea.141297
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2xncyg
doi:10.15468/dl.2yfpnu,doi:10.15468/dl.2y3gqf
doi:10.15468/dl.2yrdbx,doi:10.15468/dl.2yj8k9
doi:10.15468/dl.2yrdbx,doi:10.1594/pangaea.141313
doi:10.15468/dl.2yrdbx,doi:10.15468/dl.2yrvuk
doi:10.15468/dl.2yrdbx,doi:10.15468/dl.2y6qqf
doi:10.15468/dl.2yrdbx,doi:10.15468/dl.2ykzy5
doi:10.15468/dl.2yrdbx,doi:10.15468/dl.2ytdha
doi:10.15468/dl.2yrdbx,doi:10.1594/pangaea.141184
doi:10.15468/dl.2yrdbx,doi:10.1594/pangaea.141264
doi:10.15468/dl.2yrdbx,doi:10.15468/dl.2yscsa
doi:10.15468/dl.2xw9yr,doi:10.1594/pangaea.141298
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2yeurw
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2yeoco
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2ymf9b
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2xuhbd
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2ygqrk
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2y7rfp
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2xpswg
doi:10.15468/dl.2xw9yr,doi:10.15468/dl.2yhsrx
openalex:W2915174976,doi:10.15468/dl.2yfwjr
openalex:W2915174976,doi:10.15468/dl.2yh5mz
openalex:W2915174976,doi:10.15468/dl.2xrkv4
openalex:W2915174976,doi:10.15468/dl.2ymmyj
openalex:W2915174976,doi:10.15468/dl.2xqmsz
openalex:W2915174976,doi:10.15468/dl.2yntuj
openalex:W2915174976,doi:10.15468/dl.2y0q29
openalex:W2915174976,doi:10.15468/dl.2xubhw
openalex:W2915174976,doi:10.15468/dl.2ymwi6
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2xzr6v
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2yk5cb
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2xy9tm
doi:10.15468/dl.2ybgm3,doi:10.1594/pangaea.141219
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2ynxjz
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2yrzoj
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2xvubf
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2yj8jc
doi:10.15468/dl.2ybgm3,doi:10.15468/dl.2y2d5k
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2yghpm
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2xmyks
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2yahct
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2xtybr
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2ysnsl
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2yrchn
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2yrtpj
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2xpcuz
doi:10.15468/dl.2ybu5b,doi:10.15468/dl.2y4j2v
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2yeqkd
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2xn7ct
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2yhdqs
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2yrz9u
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2yltrw
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2xlynj
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2xolok
doi:10.15468/dl.2xuq4v,doi:10.15468/dl.2yquw8
doi:10.15468/dl.2xuq4v,doi:10.1594/pangaea.141288
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2xogqf
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2ysz4c
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2xtcun
doi:10.15468/dl.2y56qg,doi:10.1594/pangaea.141207
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2xzxje
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2yks95
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2xuzra
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2xny34
doi:10.15468/dl.2y56qg,doi:10.15468/dl.2yaqa4
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2xnbfx
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2xojhm
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2yscrw
doi:10.15468/dl.2xpeyd,doi:10.1594/pangaea.141296
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2ypma2
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2yhvyk
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2y8nkp
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2yqj2i
doi:10.15468/dl.2xpeyd,doi:10.15468/dl.2xsxyq
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2ybzdz
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2yfs8v
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2y76b7
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2xtjfn
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2yjvhy
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2yldh8
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2ysxdw
doi:10.15468/dl.2y7mrw,doi:10.15468/dl.2xrvoi
doi:10.15468/dl.2y7mrw,doi:10.1594/pangaea.141214
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2y3fxb
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2yr32g
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2xsbxj
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2xyk9w
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2yfjrx
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2y7bzu
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2xv7kd
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2xxtju
doi:10.15468/dl.2xss9r,doi:10.15468/dl.2ysuo7
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2ylwba
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2yapha
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2yf1pe
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2yewct
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2yay6q
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2xn86m
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2xvlfv
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2y8s6p
doi:10.15468/dl.2y5cnv,doi:10.15468/dl.2xwejg
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2yrwmd
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2y58jy
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2yqiga
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2ypd36
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2ya7ei
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2yp86j
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2xmyz3
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2xvsus
doi:10.15468/dl.2ylew1,doi:10.15468/dl.2xq7c4
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.2yawu3
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.2xz5n7
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.2yf2h5
doi:10.15468/dl.2ypm6s,openalex:W2341010711
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.2xvhyx
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.2y2pj8
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.xxwfw3
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.2y9y3j
doi:10.15468/dl.2ypm6s,doi:10.15468/dl.2ysvtr
doi:10.1594/pangaea.141260,doi:10.15468/dl.2xx7cx
doi:10.1594/pangaea.141260,doi:10.15468/dl.2xkq7f
doi:10.1594/pangaea.141260,doi:10.15468/dl.2yadrg
doi:10.1594/pangaea.141260,doi:10.15468/dl.2yeukm
doi:10.1594/pangaea.141260,doi:10.15468/dl.2y3qq5
doi:10.1594/pangaea.141260,doi:10.15468/dl.2xkrsy
doi:10.1594/pangaea.141260,doi:10.15468/dl.xxwfvb
doi:10.1594/pangaea.141260,doi:10.15468/dl.2yknpf
doi:10.1594/pangaea.141260,doi:10.15468/dl.2xnqwf
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2yfsy7
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2y16g3
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2xqmtb
doi:10.15468/dl.2ylh4y,doi:10.1594/pangaea.141320
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2xkyex
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2yk2u9
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2xvucn
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2xn49p
doi:10.15468/dl.2ylh4y,doi:10.15468/dl.2xsyvh
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2xrw22
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2yk3fb
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2yfbn4
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2yt244
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2xlygj
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2yduvm
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2xwth1
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2yhbzy
doi:10.15468/dl.2yfa1k,doi:10.15468/dl.2xs3ns
doi:10.15468/dl.2yq0qc,doi:10.15468/dl.2xu5jg
doi:10.15468/dl.2yq0qc,doi:10.1594/pangaea.141234
doi:10.15468/dl.2yq0qc,doi:10.15468/dl.2xmj2u
doi:10.15468/dl.2yq0qc,doi:10.15468/dl.2ye5jd
doi:10.15468/dl.2yq0qc,doi:10.15468/dl.2y95sv
doi:10.15468/dl.2yq0qc,doi:10.15468/dl.2ygn7w
doi:10.15468/dl.2yq0qc,doi:10.15468/dl.2y9ndt
doi:10.15468/dl.2yq0qc,doi:10.1594/pangaea.141241
doi:10.15468/dl.2yq0qc,doi:10.15468/dl.2yn7su
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2ydn8i
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2yepnt
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2yhtn7
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2yrkvy
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2xsgys
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2y0pfk
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2xzzej
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2ymfay
doi:10.15468/dl.2ymxxa,doi:10.15468/dl.2xnqc5
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2yg4tx
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2xn9i0
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2ysyob
doi:10.15468/dl.2yjvky,doi:10.1594/pangaea.141312
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2yfwvw
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2ybgb7
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2yfy3q
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2ygrzh
doi:10.15468/dl.2yjvky,doi:10.15468/dl.2ynf57
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2xtidp
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2xz8nc
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2yhf5p
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2ymxc4
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2xx5qm
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2xythn
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2ydiyg
doi:10.15468/dl.2xzd1i,doi:10.15468/dl.2y7m5b
doi:10.15468/dl.2xzd1i,doi:10.1594/pangaea.141190
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2ynbzj
doi:10.15468/dl.2yg0nn,doi:10.1594/pangaea.141235
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2yp34g
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2y5pr8
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2xtu4t
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2yqxab
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2xysga
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2xtumc
doi:10.15468/dl.2yg0nn,doi:10.15468/dl.2yrq5b
doi:10.1594/pangaea.141239,doi:10.15468/dl.2y86ch
doi:10.1594/pangaea.141239,doi:10.15468/dl.2yqbvd
doi:10.1594/pangaea.141239,doi:10.15468/dl.2xuznj
doi:10.1594/pangaea.141239,doi:10.15468/dl.2y2jf2
doi:10.1594/pangaea.141239,doi:10.15468/dl.2yasah
doi:10.1594/pangaea.141239,doi:10.15468/dl.2xtj7b
doi:10.1594/pangaea.141239,doi:10.15468/dl.2y1ejc
doi:10.1594/pangaea.141239,doi:10.15468/dl.2xlypn
doi:10.1594/pangaea.141239,doi:10.15468/dl.2yces0
doi:10.15468/dl.2yr7ts,openalex:W2917146984
doi:10.15468/dl.2yr7ts,doi:10.15468/dl.2ydnw7
doi:10.15468/dl.2yr7ts,doi:10.15468/dl.2xn1kb
doi:10.15468/dl.2yr7ts,doi:10.15468/dl.2xvzfm
doi:10.15468/dl.2yr7ts,doi:10.15468/dl.2xxr7p
doi:10.15468/dl.2yr7ts,doi:10.15468/dl.2ymkn6
doi:10.15468/dl.2yr7ts,doi:10.15468/dl.2yepnf
